model,source_lib,target_lib,train_samples,val_samples,test_samples,train_pos_count,train_neg_count,pos_weight,best_epoch,best_val_bal_acc,precision,recall,tnr,f1,bal_acc,fp,fn,tp,tn
gnn4gate_like,ASAP7,NANGATE15,69796,12818,81765,7594,62202,8.190940215959968,1,1.0,0.11901755996786412,1.0,0.04622266401590457,0.21271794871794875,0.5231113320079522,69084,0,9333,3348
gnn4gate_like,ASAP7,SAED14,69796,12818,82265,7594,62202,8.190940215959968,1,1.0,0.15450498575498575,0.9964400551217272,0.3544734015797273,0.2675279028180304,0.6754567283507272,47483,31,8677,26074
gnn4gate_like,NANGATE15,ASAP7,69179,12586,82614,7531,61648,8.18589828708007,1,1.0,0.20222869444092692,0.9985410587744894,0.4823194280862253,0.3363403418863421,0.7404302434303573,37800,14,9582,35218
gnn4gate_like,NANGATE15,SAED14,69179,12586,82265,7531,61648,8.18589828708007,1,1.0,0.10585303592050083,1.0,0.0,0.1914414166840711,0.5,73557,0,8708,0
gnn4gate_like,SAED14,ASAP7,69680,12585,82614,6988,62692,8.971379507727534,1,1.0,0.48719230288641757,0.8126302626094206,0.8875893615272946,0.6091711585032419,0.8501098120683577,8208,1798,7798,64810
gnn4gate_like,SAED14,NANGATE15,69680,12585,81765,6988,62692,8.971379507727534,2,1.0,0.9861804222648752,0.8257794921247188,0.9985089463220675,0.8988803358992301,0.9121442192233932,108,1626,7707,72324
trojansaint_like,ASAP7,NANGATE15,69796,12818,81765,7594,62202,8.190940215959968,1,1.0,0.665164198325821,0.996142719382835,0.9353876739562624,0.7976833976833977,0.9657651966695487,4680,36,9297,67752
trojansaint_like,ASAP7,SAED14,69796,12818,82265,7594,62202,8.190940215959968,1,1.0,0.7282408183800101,0.9973587505741847,0.9559389317128214,0.8418144809537657,0.976648841143503,3241,23,8685,70316
trojansaint_like,NANGATE15,ASAP7,69179,12586,82614,7531,61648,8.18589828708007,1,1.0,0.18588873812754408,0.9993747394747812,0.42479936454025036,0.313470401725885,0.7120870520075158,42000,6,9590,31018
trojansaint_like,NANGATE15,SAED14,69179,12586,82265,7531,61648,8.18589828708007,2,1.0,0.10585303592050083,1.0,0.0,0.1914414166840711,0.5,73557,0,8708,0
trojansaint_like,SAED14,ASAP7,69680,12585,82614,6988,62692,8.971379507727534,4,1.0,0.572827243703441,0.8413922467694873,0.9175408803308773,0.6816090498501541,0.8794665635501824,6021,1522,8074,66997
trojansaint_like,SAED14,NANGATE15,69680,12585,81765,6988,62692,8.971379507727534,2,1.0,0.11470693110698521,0.9995714132647594,0.005964214711729622,0.20579735721691558,0.5027678139882445,72000,4,9329,432
fpgnn_like,ASAP7,NANGATE15,69796,12818,81765,7594,62202,8.190940215959968,3,1.0,0.6334492350486787,0.9759991428265296,0.9272282968853546,0.7682705688862649,0.951613719855942,5271,224,9109,67161
fpgnn_like,ASAP7,SAED14,69796,12818,82265,7594,62202,8.190940215959968,3,1.0,0.10582042741484525,0.9996554892053284,0.0,0.19138177421127844,0.4998277446026642,73557,3,8705,0
fpgnn_like,NANGATE15,ASAP7,69179,12586,82614,7531,61648,8.18589828708007,4,1.0,0.14324534161490685,0.9997915798249271,0.21413897942972965,0.2505876821814763,0.6069652796273284,57382,2,9594,15636
fpgnn_like,NANGATE15,SAED14,69179,12586,82265,7531,61648,8.18589828708007,6,1.0,0.10585303592050083,1.0,0.0,0.1914414166840711,0.5,73557,0,8708,0
fpgnn_like,SAED14,ASAP7,69680,12585,82614,6988,62692,8.971379507727534,3,0.9997093023255814,0.3459264599855804,1.0,0.7515133254813882,0.5140347118062996,0.8757566627406941,18144,0,9596,54874
fpgnn_like,SAED14,NANGATE15,69680,12585,81765,6988,62692,8.971379507727534,12,1.0,0.8655676805200836,0.7988856744883746,0.984012591119947,0.8308909567058561,0.8914491328041607,1158,1877,7456,71274
raw_sage,ASAP7,NANGATE15,69796,12818,81765,7594,62202,8.190940215959968,1,1.0,0.7538864481243663,0.9560698596378442,0.9597829688535454,0.8430251783267986,0.9579264142456948,2913,410,8923,69519
raw_sage,ASAP7,SAED14,69796,12818,82265,7594,62202,8.190940215959968,1,1.0,0.5414585414585414,0.9336242535599448,0.9063991190505323,0.6854107827846394,0.9200116863052386,6885,578,8130,66672
raw_sage,NANGATE15,ASAP7,69179,12586,82614,7531,61648,8.18589828708007,1,1.0,0.3107110477917368,1.0,0.7084554493412584,0.4741106719367589,0.8542277246706291,21288,0,9596,51730
raw_sage,NANGATE15,SAED14,69179,12586,82265,7531,61648,8.18589828708007,1,1.0,0.10585303592050083,1.0,0.0,0.1914414166840711,0.5,73557,0,8708,0
raw_sage,SAED14,ASAP7,69680,12585,82614,6988,62692,8.971379507727534,2,1.0,0.5209647238200845,0.7833472280116716,0.9053384097071955,0.6257648283038502,0.8443428188594335,6912,2079,7517,66106
raw_sage,SAED14,NANGATE15,69680,12585,81765,6988,62692,8.971379507727534,1,1.0,0.5723423697837344,0.8053144755169828,0.9224652087475149,0.6691297574004007,0.8638898421322488,5616,1817,7516,66816
